BBLCOUNT        1.0         0
0x7fcb5f60d3ef 1 5 19
0x7fcb5f60d3df 1 3 16
0x7fcb5f60d2bb 0 8 37
0x7fcb5f60d2e0 0 3 17
0x7fcb5f60d2cb 664579 4 21
0x7fcb5f60d2e0 0 3 17
0x7fcb5f60d2f1 0 2 9
0x7fcb5f60d600 664579 2 13
0x7fcb5f60d60d 0 3 14
0x7fcb5f60d61b 0 3 14
0x7fcb5f60d7b0 664579 2 9
0x7fcb5f60d7b9 664579 2 8
0x7fcb5f60d2f1 664579 2 9
0x7fcb5f60d2fa 0 3 14
0x7fcb5f60d308 0 5 24
0x7fcb5f60d60d 664579 3 14
0x7fcb5f60d61b 0 3 14
0x7fcb5f60d629 0 4 16
0x7fcb5f60d8de 664579 3 14
0x7fcb5f60d8ec 0 3 14
0x7fcb5f60d8fa 0 4 16
0x7fcb5f60d324 664579 2 10
0x7fcb5f60d32e 664579 2 9
0x7fcb5f60d337 0 3 10
0x7fcb5f60d391 664579 3 12
0x7fcb5f60d39d 664579 2 9
0x7fcb5f60d3a6 664579 6 33
0x7fcb5f60d3c7 664579 5 24
0x7fcb5f60bdce 0 6 31
0x7fcb5f60bdc4 664579 3 10
0x7fcb5f61496b 664579 14 75
0x7fcb5f614934 0 22 130
0x7fcb5f614910 1 8 36
0x7fcb5f614910 664578 8 36
0x7fcb5f614934 0 22 130
0x7fcb5f6149c6 664579 2 8
0x7fcb5f6149b6 664579 3 16
0x7fcb5f62c016 1 5 12
0x7fcb5f62bffa 1 4 28
0x7fcb5f62bfe9 1 4 17
0x7fcb5f62bfdc 1 4 13
0x7fcb5f62bfd4 1 2 8
0x7fcb5f62bfc3 1 4 17
0x7fcb5f62c057 1 2 12
0x7fcb5f62c030 1 10 39
0x7fcb5f62bfc3 0 4 17
0x7fcb5f62bfb3 1 4 16
0x7fcb5f62bfaf 1 2 4
0x7fcb5f62bfa3 1 3 12
0x7fcb5f62bf7c 1 8 39
0x7fcb5f62bf50 1 11 44
0x7fcb5f6377b5 1 6 20
0x7fcb5f637799 0 3 14
0x7fcb5f637776 0 8 35
0x7fcb5f63776c 1 3 10
0x7fcb5f637744 0 6 27
0x7fcb5f637736 0 3 14
0x7fcb5f637720 1 8 22
0x7fcb5f6378c9 1 2 5
0x7fcb5f6378ce 1 10 33
0x7fcb5f6378c0 1 3 9
0x7fcb5f6379ed 664579 10 22
0x7fcb5f637a58 0 1 2
0x7fcb5f637a50 664579 2 8
0x7fcb5f6379c7 664579 9 34
0x7fcb5f6379be 664579 2 9
0x7fcb5f6379af 664579 4 15
0x7fcb5f6379a1 664579 4 14
0x7fcb5f637998 664579 2 9
0x7fcb5f637a1a 0 4 19
0x7fcb5f637a15 0 2 5
0x7fcb5f637a08 664579 4 13
0x7fcb5f6379a1 0 4 14
0x7fcb5f63798d 0 3 20
0x7fcb5f637950 664579 18 61
0x7fcb5f638690 1 4 16
0x7fcb5f6386a0 664579 8 20
0x7fcb5f6386b4 664579 5 17
0x7fcb5f6386dd 664579 5 17
0x7fcb5f6386ee 0 2 5
0x7fcb5f6386c8 664579 1 5
0x7fcb5f6386cd 664579 2 5
0x7fcb5f6386d2 664579 4 11
0x7fcb5f6386dd 0 5 17
0x7fcb5f638740 664579 3 8
0x7fcb5f63871a 664579 3 12
0x7fcb5f638726 0 8 19
0x7fcb5f638730 664579 6 9
0x7fcb5f638d64 1329157 3 9
0x7fcb5f638d6d 664578 11 24
0x7fcb5f638d8b 664579 8 39
0x7fcb5f638db2 664579 3 13
0x7fcb5f638eac 0 3 14
0x7fcb5f638ea0 664579 4 12
0x7fcb5f638e3f 664579 1 2
0x7fcb5f638e35 1329157 3 10
0x7fcb5f638e28 1329157 3 13
0x7fcb5f638e18 1329157 4 16
0x7fcb5f638e09 1 3 11
0x7fcb5f638df9 1 4 16
0x7fcb5f638ded 664580 3 12
0x7fcb5f638dd9 664580 6 20
0x7fcb5f638dc8 664580 5 17
0x7fcb5f638dbf 664580 2 9
0x7fcb5f638e51 3897958 2 5
0x7fcb5f638e56 664575 1 5
0x7fcb5f638ed0 664579 2 11
0x7fcb5f638d49 664579 8 27
0x7fcb5f638e48 3897958 3 9
0x7fcb5f638d46 664578 9 30
0x7fcb5f638e56 3 1 5
0x7fcb5f638e51 664578 2 5
0x7fcb5f638d00 1993737 10 22
0x7fcb5f638d16 1329158 8 31
0x7fcb5f638d35 1 3 9
0x7fcb5f638d73 1329159 9 18
0x7fcb5f638d88 1 9 42
0x7fcb5f638db2 1 3 13
0x7fcb5f6398b0 664579 3 9
0x7fcb5f6398a5 1 2 3
0x7fcb5f6398a0 664580 2 5
0x7fcb5f6398b9 664579 6 13
0x7fcb5f639c36 1 3 13
0x7fcb5f639c7c 1 3 13
0x7fcb5f639c89 1 7 19
0x7fcb5f639c43 1 12 45
0x7fcb5f639c70 1 2 12
0x7fcb5f639c2d 1 2 9
0x7fcb5f639d48 1 6 23
0x7fcb5f639bd6 664580 3 13
0x7fcb5f639be3 1 2 10
0x7fcb5f639bed 1 6 21
0x7fcb5f639c02 1 2 5
0x7fcb5f639c07 1 2 9
0x7fcb5f639c10 1 5 9
0x7fcb5f639c89 664579 7 19
0x7fcb5f639bb0 664581 3 11
0x7fcb5f639bbb 664581 8 18
0x7fcb5f639bcd 664580 2 9
0x7fcb5f639c20 1 2 9
0x7fcb5f639c29 0 3 13
0x7fcb5f639c36 0 3 13
0x7fcb5f639d40 1 2 8
0x7fcb5f639eed 3 7 34
0x7fcb5f63a0cb 1 8 15
0x7fcb5f63a0b9 1 4 18
0x7fcb5f639f0f 0 4 17
0x7fcb5f63a02a 3 3 14
0x7fcb5f63a038 3 1 5
0x7fcb5f63a09c 0 6 29
0x7fcb5f63a094 1 3 8
0x7fcb5f63a07a 0 3 19
0x7fcb5f63a072 1 2 8
0x7fcb5f63a067 0 2 9
0x7fcb5f63a053 1 3 20
0x7fcb5f639f4c 3 2 9
0x7fcb5f639f55 3 3 13
0x7fcb5f639fac 2 5 23
0x7fcb5f639fc3 0 2 8
0x7fcb5f63a040 1 5 19
0x7fcb5f639dc0 1 15 50
0x7fcb5f639df2 0 7 36
0x7fcb5f63a108 1 4 26
0x7fcb5f639e16 1 3 18
0x7fcb5f639e28 1 4 16
0x7fcb5f639e38 0 2 10
0x7fcb5f639e44 1 2 9
0x7fcb5f639e4d 0 3 19
0x7fcb5f639e67 1 8 40
0x7fcb5f639e8f 1 5 31
0x7fcb5f639fac 1 5 23
0x7fcb5f639fc3 0 2 8
0x7fcb5f639ee2 3 3 11
0x7fcb5f639ece 3 3 14
0x7fcb5f639eb4 3 4 26
0x7fcb5f639eb0 3 2 4
0x7fcb5f639fcb 0 3 13
0x7fcb5f639f62 3 3 17
0x7fcb5f639f7a 3 2 4
0x7fcb5f639f7e 0 3 15
0x7fcb5f639f94 3 4 24
0x7fcb5f63a2da 2 3 13
0x7fcb5f63a2e7 2 3 17
0x7fcb5f63a2ff 3 2 4
0x7fcb5f63a303 0 3 15
0x7fcb5f63a319 3 4 24
0x7fcb5f63a331 1 5 19
0x7fcb5f63a344 1 3 20
0x7fcb5f63a220 2 5 22
0x7fcb5f63a2cb 2 3 15
0x7fcb5f63a27f 2 3 10
0x7fcb5f63a266 3 6 25
0x7fcb5f63a25b 3 3 11
0x7fcb5f63a255 0 2 6
0x7fcb5f63a247 1 3 14
0x7fcb5f63a236 1 3 17
0x7fcb5f63a206 1 9 48
0x7fcb5f63a1e0 1 7 38
0x7fcb5f63a1c6 0 3 19
0x7fcb5f63a1bd 1 2 9
0x7fcb5f63a1b1 0 2 10
0x7fcb5f63a385 1 2 5
0x7fcb5f63a36b 0 3 19
0x7fcb5f63a363 1 2 8
0x7fcb5f63a2fd 0 1 2
0x7fcb5f63a2f8 0 2 5
0x7fcb5f63a2e7 1 3 17
0x7fcb5f63a2da 1 3 13
0x7fcb5f63a2c9 1 4 17
0x7fcb5f63a2bb 1 3 14
0x7fcb5f63a38a 0 6 29
0x7fcb5f63a3a7 1 4 23
0x7fcb5f63a3be 1 8 15
0x7fcb5f63a130 1 12 40
0x7fcb5f63a2b1 1 4 10
0x7fcb5f63a29b 1 5 22
0x7fcb5f63a420 1 8 42
0x7fcb5f63a29b 0 5 22
0x7fcb5f63a292 1 2 9
0x7fcb5f63a289 1 2 9
0x7fcb5f63a247 2 3 14
0x7fcb5f63a236 2 3 17
0x7fcb5f63a1a1 1 4 16
0x7fcb5f63a18f 1 3 18
0x7fcb5f63a450 1 4 26
0x7fcb5f63a16b 0 7 36
0x7fcb5f63a158 1 4 19
0x7fcb5f63b0b0 1 7 19
0x7fcb5f63b0c7 0 11 29
0x7fcb5f63b0c3 0 2 4
0x7fcb5f63b0c7 1 11 29
0x7fcb5f63b18e 0 6 25
0x7fcb5f63b189 1 2 5
0x7fcb5f63b1a7 0 2 4
0x7fcb5f63b152 1 4 5
0x7fcb5f63b110 1 2 7
0x7fcb5f63b117 0 1 2
0x7fcb5f63b120 1 7 13
0x7fcb5f63b12d 0 3 10
0x7fcb5f63b137 0 10 32
0x7fcb5f63b160 1 8 35
0x7fcb5f63b183 1 2 6
0x7fcb5f63b2f3 1 9 18
0x7fcb5f63b2bd 0 5 16
0x7fcb5f63b2a9 1 6 20
0x7fcb5f63b2a4 1 2 5
0x7fcb5f63b230 1 2 9
0x7fcb5f63b239 1 15 45
0x7fcb5f63b2b0 1 4 13
0x7fcb5f63b297 1 4 13
0x7fcb5f63b281 1 5 22
0x7fcb5f63b27c 2 2 5
0x7fcb5f63b2cd 0 4 15
0x7fcb5f63b2bd 0 5 16
0x7fcb5f63b4cb 1 5 13
0x7fcb5f63b4d8 0 2 5
0x7fcb5f63b540 1 6 24
0x7fcb5f63b558 1 2 4
0x7fcb5f63b55c 1 5 15
0x7fcb5f63b4ff 1 13 62
0x7fcb5f63b4ba 1 2 8
0x7fcb5f63b480 1 16 58
0x7fcb5f63b4c2 1 2 9
0x7fcb5f63c920 1 9 33
0x7fcb5f63c941 0 4 15
0x7fcb5f63c950 0 5 14
0x7fcb5f63c930 126 5 17
0x7fcb5f63c941 1 4 15
0x7fcb5f63c950 0 5 14
0x7fcb5f63c95e 1 5 22
0x7fcb5f63d668 1 1 5
0x7fcb5f63d3da 0 10 36
0x7fcb5f63d3b0 1 2 14
0x7fcb5f63d3be 0 10 28
0x7fcb5f63d97c 1 4 20
0x7fcb5f63d96f 1 3 13
0x7fcb5f63d955 0 3 19
0x7fcb5f63d94c 1 2 9
0x7fcb5f63d94a 0 1 2
0x7fcb5f63d940 0 2 10
0x7fcb5f63d91e 1 7 34
0x7fcb5f63daed 1 1 5
0x7fcb5f63dade 1 3 15
0x7fcb5f63dad6 1 2 8
0x7fcb5f63dac0 1 5 22
0x7fcb5f63d8e0 1 8 45
0x7fcb5f63d90d 0 10 51
0x7fcb5f63dab9 1 3 6
0x7fcb5f63da9f 1 4 26
0x7fcb5f63da9d 0 1 2
0x7fcb5f63da8e 1 4 15
0x7fcb5f63da74 0 3 19
0x7fcb5f63da6c 1 2 8
0x7fcb5f63da6a 0 1 2
0x7fcb5f63da61 0 2 9
0x7fcb5f63da58 1 2 9
0x7fcb5f63da44 1 4 20
0x7fcb5f63da30 1 4 20
0x7fcb5f63da1c 1 4 20
0x7fcb5f63da08 1 4 20
0x7fcb5f63d9f4 1 4 20
0x7fcb5f63d9e0 1 4 20
0x7fcb5f63d9cc 1 4 20
0x7fcb5f63d9b8 1 4 20
0x7fcb5f63d9a4 1 4 20
0x7fcb5f63d990 1 4 20
0x7fcb5f63d940 0 2 10
0x7fcb5f63fcb8 1 2 5
0x7fcb5f63fcbd 0 7 28
0x7fcb5f63f9d5 1 6 24
0x7fcb5f63fcd9 0 13 49
0x7fcb5f63feef 1 7 27
0x7fcb5f63f829 0 2 10
0x7fcb5f63fc8a 0 4 24
0x7fcb5f63fc85 1 2 5
0x7fcb5f63fc80 1 2 5
